scenario,arm,n_cells,catastrophic_events,catastrophic_rate,mean_mae_amplification_pre_guard,worst_mae_amplification_pre_guard,mean_mae_amplification,worst_mae_amplification,physical_violations_pre_guard,physical_violations_final
compound_step4_missing12,B_anchor,20,0,0.0,1.0,1.0,1.0,1.0,8,8
compound_step4_missing12,C_bounded_only,20,2,0.1,1.1623072598998507,2.786676030747189,1.1623072598998507,2.786676030747189,185,185
compound_step4_missing12,C_final,20,0,0.0,1.0,1.0,1.0,1.0,8,0
compound_step4_missing12,C_gated_no_veto,20,3,0.15,1.2678078742343148,2.942730368926967,1.2678078742343148,2.942730368926967,186,186
compound_step4_missing12,C_unprotected,20,12,0.6,72.27847900085989,283.4891565984329,72.27847900085989,283.4891565984329,594,594
compound_step6_spikes,B_anchor,20,0,0.0,1.0,1.0,1.0,1.0,43,43
compound_step6_spikes,C_bounded_only,20,0,0.0,0.9380029573516987,1.055246543771602,0.9380029573516987,1.055246543771602,9,9
compound_step6_spikes,C_final,20,0,0.0,1.0,1.0,0.9956568532850024,1.0,43,0
compound_step6_spikes,C_gated_no_veto,20,0,0.0,0.9331860614984133,1.0115131650159197,0.9331860614984133,1.0115131650159197,22,22
compound_step6_spikes,C_unprotected,20,0,0.0,0.8013892173243932,1.0279906182007967,0.8013892173243932,1.0279906182007967,10,10
extreme_step_neg_2sigma,B_anchor,20,0,0.0,1.0,1.0,1.0,1.0,713,713
extreme_step_neg_2sigma,C_bounded_only,20,0,0.0,0.88742966382815,1.2992202113059468,0.88742966382815,1.2992202113059468,701,701
extreme_step_neg_2sigma,C_final,20,0,0.0,1.0,1.0,0.6726741720902766,1.0,713,0
extreme_step_neg_2sigma,C_gated_no_veto,20,0,0.0,0.985391445229309,1.0422093071773133,0.985391445229309,1.0422093071773133,705,705
extreme_step_neg_2sigma,C_unprotected,20,0,0.0,0.7103876765711986,1.2637612950960644,0.7103876765711986,1.2637612950960644,373,373
extreme_step_neg_4sigma,B_anchor,20,0,0.0,1.0,1.0,1.0,1.0,718,718
extreme_step_neg_4sigma,C_bounded_only,20,0,0.0,0.9150953306224172,1.120605236112621,0.9150953306224172,1.120605236112621,716,716
extreme_step_neg_4sigma,C_final,20,0,0.0,1.0,1.0,0.5890433001241048,1.0,718,0
extreme_step_neg_4sigma,C_gated_no_veto,20,0,0.0,0.9774698466486894,1.0229011321140118,0.9774698466486894,1.0229011321140118,715,715
extreme_step_neg_4sigma,C_unprotected,20,0,0.0,0.7704269816002783,1.0896452137107229,0.7704269816002783,1.0896452137107229,706,706
extreme_step_neg_6sigma,B_anchor,20,0,0.0,1.0,1.0,1.0,1.0,718,718
extreme_step_neg_6sigma,C_bounded_only,20,0,0.0,0.9482257872873783,1.0577739734477996,0.9482257872873783,1.0577739734477996,713,713
extreme_step_neg_6sigma,C_final,20,0,0.0,1.0,1.0,0.558590178856665,1.0,718,0
extreme_step_neg_6sigma,C_gated_no_veto,20,0,0.0,0.9792584618887549,1.009551030607296,0.9792584618887549,1.009551030607296,718,718
extreme_step_neg_6sigma,C_unprotected,20,0,0.0,0.8618725571816054,1.0595670882992336,0.8618725571816054,1.0595670882992336,714,714
extreme_step_neg_8sigma,B_anchor,20,0,0.0,1.0,1.0,1.0,1.0,718,718
extreme_step_neg_8sigma,C_bounded_only,20,0,0.0,0.9459063641178703,1.0431904211631395,0.9459063641178703,1.0431904211631395,713,713
extreme_step_neg_8sigma,C_final,20,0,0.0,1.0,1.0,0.5437859873829854,1.0,718,0
extreme_step_neg_8sigma,C_gated_no_veto,20,0,0.0,0.9834727068575251,1.0082165049389766,0.9834727068575251,1.0082165049389766,717,717
extreme_step_neg_8sigma,C_unprotected,20,0,0.0,0.8941318532934608,1.0294642834959804,0.8941318532934608,1.0294642834959804,712,712
extreme_step_pos_2sigma,B_anchor,20,0,0.0,1.0,1.0,1.0,1.0,8,8
extreme_step_pos_2sigma,C_bounded_only,20,0,0.0,0.8859477573866827,1.183802932787862,0.8859477573866827,1.183802932787862,5,5
extreme_step_pos_2sigma,C_final,20,0,0.0,1.0,1.0,1.0,1.0,8,0
extreme_step_pos_2sigma,C_gated_no_veto,20,0,0.0,0.9668786149554356,1.0039036596359197,0.9668786149554356,1.0039036596359197,8,8
extreme_step_pos_2sigma,C_unprotected,20,0,0.0,0.7360689481079317,1.1354902054481175,0.7360689481079317,1.1354902054481175,2,2
extreme_step_pos_4sigma,B_anchor,20,0,0.0,1.0,1.0,1.0,1.0,8,8
extreme_step_pos_4sigma,C_bounded_only,20,0,0.0,0.9086413932569863,1.1313824889296356,0.9086413932569863,1.1313824889296356,5,5
extreme_step_pos_4sigma,C_final,20,0,0.0,1.0,1.0,1.0,1.0,8,0
extreme_step_pos_4sigma,C_gated_no_veto,20,0,0.0,0.9423277836322713,1.001259746650681,0.9423277836322713,1.001259746650681,4,4
extreme_step_pos_4sigma,C_unprotected,20,0,0.0,0.740756775930075,1.04842749767993,0.740756775930075,1.04842749767993,1,1
extreme_step_pos_6sigma,B_anchor,20,0,0.0,1.0,1.0,1.0,1.0,8,8
extreme_step_pos_6sigma,C_bounded_only,20,0,0.0,0.9100652004090307,1.088278354236442,0.9100652004090307,1.088278354236442,5,5
extreme_step_pos_6sigma,C_final,20,0,0.0,1.0,1.0,1.0,1.0,8,0
extreme_step_pos_6sigma,C_gated_no_veto,20,0,0.0,0.9395362353025221,1.0006624091881269,0.9395362353025221,1.0006624091881269,5,5
extreme_step_pos_6sigma,C_unprotected,20,0,0.0,0.7390627612062401,0.973612530055696,0.7390627612062401,0.973612530055696,2,2
extreme_step_pos_8sigma,B_anchor,20,0,0.0,1.0,1.0,1.0,1.0,87,87
extreme_step_pos_8sigma,C_bounded_only,20,0,0.0,0.9235873975503059,1.042617493675103,0.9235873975503059,1.042617493675103,25,25
extreme_step_pos_8sigma,C_final,20,0,0.0,1.0,1.0,0.9964525910056106,1.0,87,0
extreme_step_pos_8sigma,C_gated_no_veto,20,0,0.0,0.9431497058689052,1.0005416916670573,0.9431497058689052,1.0005416916670573,53,53
extreme_step_pos_8sigma,C_unprotected,20,0,0.0,0.7862137011791737,1.0059795661454745,0.7862137011791737,1.0059795661454745,5,5
gradual_then_step4,B_anchor,20,0,0.0,1.0,1.0,1.0,1.0,8,8
gradual_then_step4,C_bounded_only,20,0,0.0,0.8880381098162899,1.106107582176724,0.8880381098162899,1.106107582176724,3,3
gradual_then_step4,C_final,20,0,0.0,1.0,1.0,1.0,1.0,8,0
gradual_then_step4,C_gated_no_veto,20,0,0.0,0.9414014795313245,1.0,0.9414014795313245,1.0,7,7
gradual_then_step4,C_unprotected,20,0,0.0,0.7670596338341955,1.2470381195310267,0.7670596338341955,1.2470381195310267,2,2
missing_burst_12,B_anchor,20,0,0.0,1.0,1.0,1.0,1.0,8,8
missing_burst_12,C_bounded_only,20,15,0.75,8.876350651876816,26.26732739834705,8.876350651876816,26.26732739834705,122,122
missing_burst_12,C_final,20,0,0.0,1.0,1.0,1.0,1.0,8,0
missing_burst_12,C_gated_no_veto,20,4,0.2,2.429184250903387,10.129203514244834,2.429184250903387,10.129203514244834,8,8
missing_burst_12,C_unprotected,20,14,0.7,290.5775885022848,1713.8133594042015,290.5775885022848,1713.8133594042015,530,530
missing_burst_24,B_anchor,20,0,0.0,1.0,1.0,1.0,1.0,8,8
missing_burst_24,C_bounded_only,20,20,1.0,9.36671117122463,19.3999140651296,9.36671117122463,19.3999140651296,153,153
missing_burst_24,C_final,20,0,0.0,1.0,1.0,1.0,1.0,8,0
missing_burst_24,C_gated_no_veto,20,10,0.5,4.277109444796917,16.40699920771224,4.277109444796917,16.40699920771224,17,17
missing_burst_24,C_unprotected,20,20,1.0,2989138.3726927442,16867213.68395074,2989138.3726927442,16867213.68395074,898,898
missing_burst_48,B_anchor,20,0,0.0,1.0,1.0,1.0,1.0,8,8
missing_burst_48,C_bounded_only,20,20,1.0,6.476265297022545,15.78261275703272,6.476265297022545,15.78261275703272,212,212
missing_burst_48,C_final,20,0,0.0,1.0,1.0,1.0,1.0,8,0
missing_burst_48,C_gated_no_veto,20,10,0.5,3.2558369226895145,14.49272081119574,3.2558369226895145,14.49272081119574,74,74
missing_burst_48,C_unprotected,20,20,1.0,26527705.376185887,183159368.44911367,26527705.376185887,183159368.44911367,945,945
missing_burst_6,B_anchor,20,0,0.0,1.0,1.0,1.0,1.0,8,8
missing_burst_6,C_bounded_only,20,9,0.45,2.232937459946921,4.808993225735205,2.232937459946921,4.808993225735205,4,4
missing_burst_6,C_final,20,0,0.0,1.0,1.0,1.0,1.0,8,0
missing_burst_6,C_gated_no_veto,20,0,0.0,1.1089466396668213,1.4489335092270457,1.1089466396668213,1.4489335092270457,7,7
missing_burst_6,C_unprotected,20,15,0.75,3.101717663105963,9.31343218595505,3.101717663105963,9.31343218595505,2,2
spike_burst_6sigma,B_anchor,20,0,0.0,1.0,1.0,1.0,1.0,99,99
spike_burst_6sigma,C_bounded_only,20,0,0.0,1.0242391075968853,1.214620842611566,1.0242391075968853,1.214620842611566,104,104
spike_burst_6sigma,C_final,20,0,0.0,1.0,1.0,0.7607294400714947,1.0,99,0
spike_burst_6sigma,C_gated_no_veto,20,0,0.0,1.010211487071189,1.2612809762421504,1.010211487071189,1.2612809762421504,98,98
spike_burst_6sigma,C_unprotected,20,0,0.0,0.9248813540464319,1.1750894717889484,0.9248813540464319,1.1750894717889484,207,207
spike_burst_8sigma,B_anchor,20,0,0.0,1.0,1.0,1.0,1.0,109,109
spike_burst_8sigma,C_bounded_only,20,0,0.0,1.034542002008814,1.1934823171230369,1.034542002008814,1.1934823171230369,114,114
spike_burst_8sigma,C_final,20,0,0.0,1.0,1.0,0.7469799433180512,1.0,109,0
spike_burst_8sigma,C_gated_no_veto,20,0,0.0,1.000424224081469,1.2064715551662084,1.000424224081469,1.2064715551662084,109,109
spike_burst_8sigma,C_unprotected,20,0,0.0,0.9500817995957561,1.184171258070918,0.9500817995957561,1.184171258070918,254,254
stuck_high,B_anchor,20,0,0.0,1.0,1.0,1.0,1.0,8,8
stuck_high,C_bounded_only,20,1,0.05,1.4619784448281756,2.25222401537023,1.4619784448281756,2.25222401537023,246,246
stuck_high,C_final,20,0,0.0,1.0,1.0,1.0,1.0,8,0
