variant,intensity,target,n_seeds,full_minus_variant_rescue,ci_lo,ci_hi,ci_method,full_better_seeds
No Attention,0.1,dissolved oxygen,5,0.0,0.0,0.0,"paired two-sided Student-t, df=n_seeds-1",0
No Attention,0.1,electric conductivity,5,0.0,0.0,0.0,"paired two-sided Student-t, df=n_seeds-1",0
No Attention,0.1,ph,5,0.0,0.0,0.0,"paired two-sided Student-t, df=n_seeds-1",0
No Attention,0.1,temperature,5,0.0,0.0,0.0,"paired two-sided Student-t, df=n_seeds-1",0
No Attention,0.15,dissolved oxygen,5,0.0,0.0,0.0,"paired two-sided Student-t, df=n_seeds-1",0
No Attention,0.15,electric conductivity,5,0.0,0.0,0.0,"paired two-sided Student-t, df=n_seeds-1",0
No Attention,0.15,ph,5,0.062131062642437285,-0.11037242211189552,0.2346345473967701,"paired two-sided Student-t, df=n_seeds-1",1
No Attention,0.15,temperature,5,-0.03971322670763578,-0.24970216746170376,0.1702757140464322,"paired two-sided Student-t, df=n_seeds-1",1
No Attention,0.2,dissolved oxygen,5,0.0,0.0,0.0,"paired two-sided Student-t, df=n_seeds-1",0
No Attention,0.2,electric conductivity,5,-0.06269966178056105,-0.23678183082875723,0.11138250726763513,"paired two-sided Student-t, df=n_seeds-1",0
No Attention,0.2,ph,5,0.007114475782064917,-0.09058482533186267,0.10481377689599251,"paired two-sided Student-t, df=n_seeds-1",1
No Attention,0.2,temperature,5,0.06857120823546328,-0.15068046727627518,0.2878228837472018,"paired two-sided Student-t, df=n_seeds-1",1
No Attention,0.25,dissolved oxygen,5,0.0,0.0,0.0,"paired two-sided Student-t, df=n_seeds-1",0
No Attention,0.25,electric conductivity,5,0.01528960483486414,-0.027161143669302994,0.057740353339031276,"paired two-sided Student-t, df=n_seeds-1",1
No Attention,0.25,ph,5,-0.06916103881553307,-0.2611828665053148,0.12286078887424867,"paired two-sided Student-t, df=n_seeds-1",0
No Attention,0.25,temperature,5,0.0,0.0,0.0,"paired two-sided Student-t, df=n_seeds-1",0
No CNN,0.1,dissolved oxygen,5,0.0,0.0,0.0,"paired two-sided Student-t, df=n_seeds-1",0
No CNN,0.1,electric conductivity,5,0.0,0.0,0.0,"paired two-sided Student-t, df=n_seeds-1",0
No CNN,0.1,ph,5,-0.0235913288096238,-0.08909135820821562,0.04190870058896801,"paired two-sided Student-t, df=n_seeds-1",0
No CNN,0.1,temperature,5,0.0,0.0,0.0,"paired two-sided Student-t, df=n_seeds-1",0
No CNN,0.15,dissolved oxygen,5,0.0,0.0,0.0,"paired two-sided Student-t, df=n_seeds-1",0
No CNN,0.15,electric conductivity,5,0.0,0.0,0.0,"paired two-sided Student-t, df=n_seeds-1",0
No CNN,0.15,ph,5,-0.017540057970736333,-0.06623906606847287,0.031158950127000196,"paired two-sided Student-t, df=n_seeds-1",0
No CNN,0.15,temperature,5,0.0254371733978725,-0.04518774217271825,0.09606208896846324,"paired two-sided Student-t, df=n_seeds-1",1
No CNN,0.2,dissolved oxygen,5,0.0,0.0,0.0,"paired two-sided Student-t, df=n_seeds-1",0
No CNN,0.2,electric conductivity,5,0.0,0.0,0.0,"paired two-sided Student-t, df=n_seeds-1",0
No CNN,0.2,ph,5,-0.05040125608337429,-0.1175230595347812,0.016720547368032627,"paired two-sided Student-t, df=n_seeds-1",0
No CNN,0.2,temperature,5,0.06723246905268444,-0.15332511711230584,0.28779005521767476,"paired two-sided Student-t, df=n_seeds-1",1
No CNN,0.25,dissolved oxygen,5,0.0,0.0,0.0,"paired two-sided Student-t, df=n_seeds-1",0
No CNN,0.25,electric conductivity,5,0.01528960483486414,-0.027161143669302994,0.057740353339031276,"paired two-sided Student-t, df=n_seeds-1",1
No CNN,0.25,ph,5,-0.00155418421075358,-0.005869291355276061,0.0027609229337689,"paired two-sided Student-t, df=n_seeds-1",0
No CNN,0.25,temperature,5,0.0,0.0,0.0,"paired two-sided Student-t, df=n_seeds-1",0
Unified Encoder,0.1,dissolved oxygen,5,0.0,0.0,0.0,"paired two-sided Student-t, df=n_seeds-1",0
Unified Encoder,0.1,electric conductivity,5,0.0,0.0,0.0,"paired two-sided Student-t, df=n_seeds-1",0
Unified Encoder,0.1,ph,5,0.0,0.0,0.0,"paired two-sided Student-t, df=n_seeds-1",0
Unified Encoder,0.1,temperature,5,0.0,0.0,0.0,"paired two-sided Student-t, df=n_seeds-1",0
Unified Encoder,0.15,dissolved oxygen,5,0.0,0.0,0.0,"paired two-sided Student-t, df=n_seeds-1",0
Unified Encoder,0.15,electric conductivity,5,0.0,0.0,0.0,"paired two-sided Student-t, df=n_seeds-1",0
Unified Encoder,0.15,ph,5,0.062131062642437285,-0.11037242211189552,0.2346345473967701,"paired two-sided Student-t, df=n_seeds-1",1
Unified Encoder,0.15,temperature,5,0.007344930316814477,-0.08901358856613607,0.10370344919976503,"paired two-sided Student-t, df=n_seeds-1",1
Unified Encoder,0.2,dissolved oxygen,5,0.0,0.0,0.0,"paired two-sided Student-t, df=n_seeds-1",0
Unified Encoder,0.2,electric conductivity,5,-0.03175581527981666,-0.11237322083512546,0.04886159027549214,"paired two-sided Student-t, df=n_seeds-1",0
Unified Encoder,0.2,ph,5,0.05698929461179342,-0.13211667424077758,0.24609526346436442,"paired two-sided Student-t, df=n_seeds-1",1
Unified Encoder,0.2,temperature,5,0.07711585398389109,-0.13514915082122503,0.2893808587890072,"paired two-sided Student-t, df=n_seeds-1",2
Unified Encoder,0.25,dissolved oxygen,5,0.0,0.0,0.0,"paired two-sided Student-t, df=n_seeds-1",0
Unified Encoder,0.25,electric conductivity,5,0.01528960483486414,-0.027161143669302994,0.057740353339031276,"paired two-sided Student-t, df=n_seeds-1",1
Unified Encoder,0.25,ph,5,0.0,0.0,0.0,"paired two-sided Student-t, df=n_seeds-1",0
Unified Encoder,0.25,temperature,5,0.0,0.0,0.0,"paired two-sided Student-t, df=n_seeds-1",0
Ordinary Residual Target,0.1,dissolved oxygen,5,0.0,0.0,0.0,"paired two-sided Student-t, df=n_seeds-1",0
Ordinary Residual Target,0.1,electric conductivity,5,0.0,0.0,0.0,"paired two-sided Student-t, df=n_seeds-1",0
Ordinary Residual Target,0.1,ph,5,0.0,0.0,0.0,"paired two-sided Student-t, df=n_seeds-1",0
Ordinary Residual Target,0.1,temperature,5,0.0,0.0,0.0,"paired two-sided Student-t, df=n_seeds-1",0
Ordinary Residual Target,0.15,dissolved oxygen,5,0.0,0.0,0.0,"paired two-sided Student-t, df=n_seeds-1",0
Ordinary Residual Target,0.15,electric conductivity,5,0.0,0.0,0.0,"paired two-sided Student-t, df=n_seeds-1",0
Ordinary Residual Target,0.15,ph,5,0.062131062642437285,-0.11037242211189552,0.2346345473967701,"paired two-sided Student-t, df=n_seeds-1",1
Ordinary Residual Target,0.15,temperature,5,0.0254371733978725,-0.04518774217271825,0.09606208896846324,"paired two-sided Student-t, df=n_seeds-1",1
Ordinary Residual Target,0.2,dissolved oxygen,5,0.0,0.0,0.0,"paired two-sided Student-t, df=n_seeds-1",0
Ordinary Residual Target,0.2,electric conductivity,5,0.0,0.0,0.0,"paired two-sided Student-t, df=n_seeds-1",0
Ordinary Residual Target,0.2,ph,5,0.0654874422856407,-0.11633484630024978,0.24730973087153119,"paired two-sided Student-t, df=n_seeds-1",1
Ordinary Residual Target,0.2,temperature,5,0.07711585398389109,-0.13514915082122503,0.2893808587890072,"paired two-sided Student-t, df=n_seeds-1",2
Ordinary Residual Target,0.25,dissolved oxygen,5,0.0,0.0,0.0,"paired two-sided Student-t, df=n_seeds-1",0
Ordinary Residual Target,0.25,electric conductivity,5,0.01528960483486414,-0.027161143669302994,0.057740353339031276,"paired two-sided Student-t, df=n_seeds-1",1
Ordinary Residual Target,0.25,ph,5,0.0,0.0,0.0,"paired two-sided Student-t, df=n_seeds-1",0
Ordinary Residual Target,0.25,temperature,5,0.0,0.0,0.0,"paired two-sided Student-t, df=n_seeds-1",0
